"","time","S","I","R","Date","A","Rm","total_infected"
"55",55,15827.7714868204,5218.0487625302,20546.1797506494,2021-05-28,5912,19662,25764.2285131796
"56",56,15449.224976102,5152.73786825556,20990.0371556424,2021-05-29,6303,20178,26142.775023898
"57",57,15084.615473885,5079.42689597432,21427.9576301407,2021-05-30,6323,20770,26507.384526115
"58",58,14733.9072000317,4998.80685189047,21859.2859480779,2021-05-31,6495,21293,26858.0927999683
"59",59,14396.9953324699,4911.57817455442,22283.4264929757,2021-06-01,6506,21813,27195.0046675301
"60",60,14073.7143020076,4818.44201244303,22699.8436855494,2021-06-02,6570,22290,27518.2856979924
"61",61,13763.8458627043,4720.09243306363,23108.061704232,2021-06-03,6408,22866,27828.1541372957
"62",62,13467.1268140894,4617.2096055234,23507.6635803872,2021-06-04,6038,23522,28124.8731859106
"63",63,13183.2562818118,4510.45396604537,23898.2897521428,2021-06-05,5771,24101,28408.7437181882
"64",64,12911.9024907889,4400.46134883025,24279.6361603809,2021-06-06,NA,NA,28680.0975092111
"65",65,12652.7089892236,4287.83904277797,24651.4519679984,2021-06-07,NA,NA,28939.2910107764
"66",66,12405.3003024045,4173.16271825603,25013.5369793395,2021-06-08,NA,NA,29186.6996975955
"67",67,12169.2870121618,4056.97415640299,25365.7388314352,2021-06-09,NA,NA,29422.7129878382
"68",68,11944.2702721302,3939.7797052725,25707.9500225972,2021-06-10,NA,NA,29647.7297278697
"69",69,11729.8457793158,3822.0493835377,26040.1048371465,2021-06-11,NA,NA,29862.1542206842
"70",70,11525.6072299837,3704.21655173563,26362.1762182807,2021-06-12,NA,NA,30066.3927700163
"71",71,11331.1492936474,3586.67807207467,26674.1726342779,2021-06-13,NA,NA,30260.8507063526
"72",72,11146.0701423222,3469.79488111036,26976.1349765674,2021-06-14,NA,NA,30445.9298576778
"73",73,10969.9735738119,3353.89290426001,27268.133521928,2021-06-15,NA,NA,30622.026426188
"74",74,10802.4707681793,3239.26424659281,27550.2649852279,2021-06-16,NA,NA,30789.5292318207
"75",75,10643.1817158878,3126.16860035676,27822.6496837554,2021-06-17,NA,NA,30948.8182841122
"76",76,10491.736354657,3014.83481597505,28085.4288293679,2021-06-18,NA,NA,31100.2636453429
"77",77,10347.7754500795,2905.46258952729,28338.7619603932,2021-06-19,NA,NA,31244.2245499205
"78",78,10210.9512526923,2798.2242258447,28582.824521463,2021-06-20,NA,NA,31381.0487473077
"79",79,10080.9279616294,2693.2664421627,28817.8055962079,2021-06-21,NA,NA,31511.0720383706
"80",80,9957.38202233602,2590.71218266912,29043.9057949949,2021-06-22,NA,NA,31634.617977664
"81",81,9840.00228308719,2490.66241942246,29261.3352974903,2021-06-23,NA,NA,31751.9977169128
"82",82,9728.49003259925,2393.1979193173,29470.3120480834,2021-06-24,NA,NA,31863.5099674007
"83",83,9622.55893845163,2298.38096105606,29671.0601004923,2021-06-25,NA,NA,31969.4410615484
"84",84,9521.93490369205,2206.25698960083,29863.8081067071,2021-06-26,NA,NA,32070.0650963079
"85",85,9426.35585690709,2116.85619856712,30048.7879445258,2021-06-27,NA,NA,32165.6441430929
"86",86,9335.57148899803,2030.19503384146,30226.2334771605,2021-06-28,NA,NA,32256.428511002
"87",87,9249.3429481553,1946.27761383877,30396.3794380059,2021-06-29,NA,NA,32342.6570518447
"88",88,9167.44250289484,1865.09706380757,30559.4604332976,2021-06-30,NA,NA,32424.5574971051
"89",89,9089.65318156385,1786.63676318774,30715.7100552484,2021-07-01,NA,NA,32502.3468184361
"90",90,9015.76839544596,1710.87150632725,30865.3600982268,2021-07-02,NA,NA,32576.231604554
"91",91,8945.59155147676,1637.7685779105,31008.6398706127,2021-07-03,NA,NA,32646.4084485232
"92",92,8878.93565959608,1567.2887452794,31145.7755951245,2021-07-04,NA,NA,32713.0643404039
"93",93,8815.62293887559,1499.38717050933,31276.9898906151,2021-07-05,NA,NA,32776.3770611244
"94",94,8755.48442582696,1434.01424556021,31402.5013286128,2021-07-06,NA,NA,32836.515574173
"95",95,8698.35958766828,1371.11635415343,31522.5240581783,2021-07-07,NA,NA,32893.6404123317
"96",96,8644.09594275468,1310.63656427616,31637.2674929691,2021-07-08,NA,NA,32947.9040572453
"97",97,8592.54868990399,1252.5152553448,31746.9360547512,2021-07-09,NA,NA,32999.451310096
"98",98,8543.58034797008,1196.69068411495,31851.728967915,2021-07-10,NA,NA,33048.4196520299
"99",99,8497.0604066393,1143.09949338303,31951.8400999777,2021-07-11,NA,NA,33094.9395933607
"100",100,8452.86498916107,1091.67716748873,32047.4578433502,2021-07-12,NA,NA,33139.1350108389
"101",101,8410.8765275262,1042.35843859302,32138.7650338808,2021-07-13,NA,NA,33181.1234724738
"102",102,8370.98345033983,995.07764745091,32225.9389022092,2021-07-14,NA,NA,33221.0165496602
"103",103,8333.07988350056,949.769062286625,32309.1510542128,2021-07-15,NA,NA,33258.9201164994
"104",104,8297.06536368251,906.367159252433,32388.567477065,2021-07-16,NA,NA,33294.9346363175
"105",105,8262.84456449425,864.806867736806,32464.3485677689,2021-07-17,NA,NA,33329.1554355057
"106",106,8230.3270351054,825.023783603708,32536.6491812909,2021-07-18,NA,NA,33361.6729648946
"107",107,8199.42695106571,786.954353257662,32605.6186956766,2021-07-19,NA,NA,33392.5730489343
"108",108,8170.0628769897,750.536031240905,32671.4010917694,2021-07-20,NA,NA,33421.9371230103
"109",109,8142.1575407421,715.707413883826,32734.1350453741,2021-07-21,NA,NA,33449.8424592579
"110",110,8115.63761873128,682.408351349381,32793.9540299193,2021-07-22,NA,NA,33476.3623812687
"111",111,8090.43353190283,650.580040222256,32850.9864278749,2021-07-23,NA,NA,33501.5664680972
"112",112,8066.47925199877,620.165098705912,32905.3556492953,2021-07-24,NA,NA,33525.5207480012
"113",113,8043.71211766651,591.107626184918,32957.1802561486,2021-07-25,NA,NA,33548.2878823335
"114",114,8022.07265999164,563.353248863869,33006.5740911445,2021-07-26,NA,NA,33569.9273400083
"115",115,8001.50443702315,536.849153056625,33053.6464099202,2021-07-27,NA,NA,33590.4955629768
"116",116,7981.95387687283,511.544107535126,33098.502015592,2021-07-28,NA,NA,33610.0461231272
"117",117,7963.37012898101,487.388476227565,33141.2413947914,2021-07-29,NA,NA,33628.629871019
"118",118,7945.70492315445,464.334222418077,33181.9608544275,2021-07-30,NA,NA,33646.2950768455
"119",119,7928.91243598989,442.334905528275,33220.7526584818,2021-07-31,NA,NA,33663.0875640101
"120",120,7912.94916431107,421.345671443999,33257.7051642449,2021-08-01,NA,NA,33679.0508356889
"121",121,7897.7738052621,401.323237258514,33292.9029574794,2021-08-02,NA,NA,33694.2261947379
"122",122,7883.34714271421,382.225871218793,33326.426986067,2021-08-03,NA,NA,33708.6528572858
"123",123,7869.63193965744,364.013368582802,33358.3546917598,2021-08-04,NA,NA,33722.3680603426
"124",124,7856.59283626383,346.647024023763,33388.7601397124,2021-08-05,NA,NA,33735.4071637362
"125",125,7844.19625332273,330.089601151196,33417.7141455261,2021-08-06,NA,NA,33747.8037466773
"126",126,7832.41030076364,314.305299658098,33445.2843995783,2021-08-07,NA,NA,33759.5896992364
"127",127,7821.20469099568,299.259720548489,33471.5355884558,2021-08-08,NA,NA,33770.7953090043
"128",128,7810.55065680621,284.919829849284,33496.5295133445,2021-08-09,NA,NA,33781.4493431938
"129",129,7800.42087357468,271.253921164755,33520.3252052606,2021-08-10,NA,NA,33791.5791264253
"130",130,7790.78938557,258.231577390341,33542.9790370397,2021-08-11,NA,NA,33801.21061443
"131",131,7781.63153611201,245.823631864975,33564.544832023,2021-08-12,NA,NA,33810.368463888
"132",132,7772.92390138943,234.002129207018,33585.0739694035,2021-08-13,NA,NA,33819.0760986106
"133",133,7764.64422773745,222.740286048181,33604.6154862144,2021-08-14,NA,NA,33827.3557722625
"134",134,7756.77137218896,212.012451852055,33623.216175959,2021-08-15,NA,NA,33835.228627811
"135",135,7749.28524612349,201.794069978919,33640.9206838976,2021-08-16,NA,NA,33842.7147538765
"136",136,7742.16676184731,192.061639136032,33657.7715990166,2021-08-17,NA,NA,33849.8332381527
"137",137,7735.39778194755,182.792675332497,33673.8095427199,2021-08-18,NA,NA,33856.6022180524
"138",138,7728.96107127153,173.965674439742,33689.0732542887,2021-08-19,NA,NA,33863.0389287285
"139",139,7722.84025139089,165.560075442547,33703.5996731666,2021-08-20,NA,NA,33869.1597486091
"140",140,7717.01975741766,157.556224451184,33717.4240181311,2021-08-21,NA,NA,33874.9802425823
"141",141,7711.48479704692,149.935339532408,33730.5798634207,2021-08-22,NA,NA,33880.5152029531
"142",142,7706.22131170736,142.679476405722,33743.0992118869,2021-08-23,NA,NA,33885.7786882926
"143",143,7701.21593970791,135.771495041168,33755.0125652509,2021-08-24,NA,NA,33890.7840602921
"144",144,7696.45598127414,129.195027186414,33766.3489915394,2021-08-25,NA,NA,33895.5440187259
"145",145,7691.92936537517,122.934444842262,33777.1361897826,2021-08-26,NA,NA,33900.0706346248
"146",146,7687.624618247,116.974829699274,33787.4005520537,2021-08-27,NA,NA,33904.375381753
